timepoint	epi	muscle	neuron
6_148_3	10dpa1	0.753125013559826	0.582530941944212	0.0836352673754182
6_151_3	10dpa1	0.748149655370124	0.0491220660472387	-0.239351250815155
6_152_0_3	10dpa1	0.554798746572587	0.752244022470513	0.172204601658464
6_152_1_3	10dpa1	0.925948777485361	0.34362782314792	-0.000722498817071315
6_153_0_3	10dpa1	1.0009079713868	0.281669905186623	0.061433525334913
6_153_1_3	10dpa1	0.875137770698628	0.569347490164658	-0.0586198249319417
6_154_3	10dpa1	0.688908073462903	0.0782885043649884	0.18706531517176
6_155_0_3	10dpa1	0.748382698044628	0.399355593180017	0.0638005373286062
6_155_1_3	10dpa1	1.09692003848074	-0.326744596460386	-0.0770743619215075
6_158_3	10dpa1	1.03841276716771	0.409289460880013	-0.0290972173589838
6_159_0_3	10dpa1	0.537601046235363	1.00052264295933	0.0595907404041938
6_173_0_3	10dpa1	0.969624087851011	0.494450145808965	-0.193450146870805
6_173_1_3	10dpa1	0.923755215827031	0.640299726807843	0.00988609913111771
6_174_0_3	10dpa1	0.794986115302397	0.653943689307148	0.19528403162917
6_174_1_3	10dpa1	0.791281763948714	0.619639184839981	0.0595061268041362
6_178_3	10dpa1	0.782480756239909	0.753537822150932	-0.00252463927425051
2_468_0_6	12hpa2	0.513027351086217	0.00936586020152919	-0.223771654381036
22_99_6	12hpa2	0.238731975176402	-0.711234234098828	0.0309254854943072
22_246_6	12hpa2	0.124405751833427	-0.119633909683662	-0.221237286692137
22_280_6	12hpa2	0.538721467929188	0.650977854979042	-0.148394178287263
32_155_2_6	12hpa2	1.27636341847603	0.431670678323285	0.0184165848527643
0_14_0_7	14dpa1	1.39984213570229	-0.105676776485465	-0.16472238154311
0_14_1_7	14dpa1	1.98267137185679	0.488577996443797	-0.106018492807648
0_15_7	14dpa1	1.28978020504262	-0.244479223090052	0.0778989019083067
0_17_0_7	14dpa1	1.0189001557848	0.346371332083482	0.178343952627807
0_36_0_7	14dpa1	1.38258996408924	-0.0554480879406976	-0.154676877873009
0_36_1_7	14dpa1	1.0570589388712	0.255876805717421	0.201350902921008
0_38_0_7	14dpa1	0.710217845932607	-0.523365349764726	-0.186714698327478
0_38_1_7	14dpa1	0.881435528545273	-0.202464807331007	0.224056798243847
0_39_0_7	14dpa1	1.02976189591783	-0.0342979387919087	-0.178508281448552
0_39_1_7	14dpa1	0.891878115515905	-0.286080133188444	-0.2427124379093
0_41_0_7	14dpa1	1.26712510821307	0.0163366442468158	0.0210746349527955
0_41_1_7	14dpa1	1.29490737813499	0.0251323963232928	-0.175505506496003
0_41_2_7	14dpa1	0.619545051929891	-0.0979895087450522	-0.0239113564152393
0_41_3_7	14dpa1	0.942762510006016	-0.22819692146973	0.055004502391598
0_47_0_7	14dpa1	1.39027175290149	-0.127360422724029	-0.0424708120858556
